"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","group","date","rt","stimulus","response","task_part","task","face_id","condition","age_rating"
"","","","","","html-keyboard-response","333","1747603","0.0-4.0-0.10","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","334","1749618","0.0-4.0-1.10","2","B","21/02/2026","null","<img src=""img/face_188_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","188","rg_plus",""
"","","","","","survey-text","335","1753102","0.0-4.0-2.10","2","B","21/02/2026","3480","","{""age"":""27""}","","exp2","188","rg_plus","27"
"","","","","","html-keyboard-response","336","1753609","0.0-4.0-0.11","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","337","1755619","0.0-4.0-1.11","2","B","21/02/2026","null","<img src=""img/face_122_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","122","rg_plus",""
"","","","","","survey-text","338","1757683","0.0-4.0-2.11","2","B","21/02/2026","2062","","{""age"":""38""}","","exp2","122","rg_plus","38"
"","","","","","html-keyboard-response","339","1758195","0.0-4.0-0.12","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","340","1760211","0.0-4.0-1.12","2","B","21/02/2026","null","<img src=""img/face_124_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","124","rg_plus",""
"","","","","","survey-text","341","1761517","0.0-4.0-2.12","2","B","21/02/2026","1303","","{""age"":""33""}","","exp2","124","rg_plus","33"
"","","","","","html-keyboard-response","342","1762030","0.0-4.0-0.13","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","343","1764032","0.0-4.0-1.13","2","B","21/02/2026","null","<img src=""img/face_198_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","198","rg_plus",""
"","","","","","survey-text","344","1767563","0.0-4.0-2.13","2","B","21/02/2026","3527","","{""age"":""59""}","","exp2","198","rg_plus","59"
"","","","","","html-keyboard-response","345","1768072","0.0-4.0-0.14","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","346","1770082","0.0-4.0-1.14","2","B","21/02/2026","null","<img src=""img/face_141_rg_minus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","141","rg_minus",""
"","","","","","survey-text","347","1773655","0.0-4.0-2.14","2","B","21/02/2026","3571","","{""age"":""41""}","","exp2","141","rg_minus","41"
"","","","","","html-keyboard-response","348","1774171","0.0-4.0-0.15","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","349","1776183","0.0-4.0-1.15","2","B","21/02/2026","null","<img src=""img/face_154_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","154","rg_plus",""
"","","","","","survey-text","350","1780084","0.0-4.0-2.15","2","B","21/02/2026","3899","","{""age"":""38""}","","exp2","154","rg_plus","38"
"","","","","","html-keyboard-response","351","1780594","0.0-4.0-0.16","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","352","1782608","0.0-4.0-1.16","2","B","21/02/2026","null","<img src=""img/face_131_rg_minus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","131","rg_minus",""
"","","","","","survey-text","353","1785190","0.0-4.0-2.16","2","B","21/02/2026","2581","","{""age"":""34""}","","exp2","131","rg_minus","34"
"","","","","","html-keyboard-response","354","1785703","0.0-4.0-0.17","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","355","1787711","0.0-4.0-1.17","2","B","21/02/2026","null","<img src=""img/face_192_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","192","rg_plus",""
"","","","","","survey-text","356","1793822","0.0-4.0-2.17","2","B","21/02/2026","6108","","{""age"":""35""}","","exp2","192","rg_plus","35"
"","","","","","html-keyboard-response","357","1794325","0.0-4.0-0.18","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","358","1796339","0.0-4.0-1.18","2","B","21/02/2026","null","<img src=""img/face_193_rg_minus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","193","rg_minus",""
"","","","","","survey-text","359","1799029","0.0-4.0-2.18","2","B","21/02/2026","2689","","{""age"":""31""}","","exp2","193","rg_minus","31"
"","","","","","html-keyboard-response","360","1799534","0.0-4.0-0.19","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","361","1801546","0.0-4.0-1.19","2","B","21/02/2026","null","<img src=""img/face_108_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","108","rg_plus",""
"","","","","","survey-text","362","1805883","0.0-4.0-2.19","2","B","21/02/2026","4335","","{""age"":""37""}","","exp2","108","rg_plus","37"
"","","","","","html-keyboard-response","363","1806391","0.0-4.0-0.20","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","364","1808400","0.0-4.0-1.20","2","B","21/02/2026","null","<img src=""img/face_110_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","110","rg_plus",""
"","","","","","survey-text","365","1813230","0.0-4.0-2.20","2","B","21/02/2026","4828","","{""age"":""52""}","","exp2","110","rg_plus","52"
"","","","","","html-keyboard-response","366","1813744","0.0-4.0-0.21","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","367","1815757","0.0-4.0-1.21","2","B","21/02/2026","null","<img src=""img/face_133_rg_minus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","133","rg_minus",""
"","","","","","survey-text","368","1819623","0.0-4.0-2.21","2","B","21/02/2026","3863","","{""age"":""50""}","","exp2","133","rg_minus","50"
"","","","","","html-keyboard-response","369","1820125","0.0-4.0-0.22","2","B","21/02/2026","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","",""
"","","","","","html-keyboard-response","370","1822137","0.0-4.0-1.22","2","B","21/02/2026","null","<img src=""img/face_104_rg_plus.jpg"" style=""height:400px; width:auto;"">","null","","exp2","104","rg_plus",""
"","","","","","survey-text","371","1826730","0.0-4.0-2.22","2","B","21/02/2026","4591","","{""age"":""49""}","","exp2","104","rg_plus","49"
